Date,Price,Open,High,Low,Vol.,Change %
10-Oct-21,147.738,156.778,158.478,145.953,2.91M,-5.75%
9-Oct-21,156.755,158.631,161.41,154.685,2.87M,-1.16%
8-Oct-21,158.589,154.215,168.79,152.576,5.41M,2.84%
7-Oct-21,154.209,153.883,161.162,150.53,4.96M,0.20%
6-Oct-21,153.895,164.617,165.357,150.266,6.64M,-6.51%
5-Oct-21,164.619,167.121,170.109,160.188,4.88M,-1.49%
4-Oct-21,167.116,173.021,173.021,162.503,5.75M,-3.26%
3-Oct-21,172.745,169.074,177.359,165.891,5.56M,2.17%
2-Oct-21,169.08,161.623,174.889,156.773,6.76M,4.61%
1-Oct-21,161.623,141.366,164.871,138.352,8.96M,14.33%
30-Sep-21,141.36,135.294,142.798,134.131,4.83M,4.49%
29-Sep-21,135.283,132.222,140.002,131.232,5.31M,2.41%
28-Sep-21,132.104,136.372,139.386,128.21,5.25M,-3.13%
27-Sep-21,136.374,135.724,148.787,133.766,6.92M,0.46%
26-Sep-21,135.753,136.075,140.609,124.982,5.83M,-0.25%
25-Sep-21,136.086,139.257,143.961,133.589,4.38M,-2.28%
24-Sep-21,139.268,149.945,151.009,128.404,9.67M,-7.07%
23-Sep-21,149.87,148.013,152.31,143.083,7.40M,1.23%
22-Sep-21,148.048,123.967,151.446,122.272,12.06M,19.51%
21-Sep-21,123.881,132.701,144.496,116.135,14.26M,-6.51%
20-Sep-21,132.502,152.742,153.305,131.023,14.72M,-13.23%
19-Sep-21,152.704,169.289,170.852,150.914,7.32M,-9.86%
18-Sep-21,169.399,147.447,171.309,144.269,12.19M,14.91%
17-Sep-21,147.416,152.215,153.253,134.717,11.39M,-3.15%
16-Sep-21,152.211,158.648,163.008,147.493,6.80M,-4.04%
15-Sep-21,158.619,158.507,166.246,154.057,8.72M,0.39%
14-Sep-21,158,169.47,171.54,143.2,12.22M,-6.77%
13-Sep-21,169.47,174.37,175,150.54,12.52M,-2.81%
12-Sep-21,174.37,178.35,181.5,170.81,-,-2.23%
