Category: All categories,,
,,
Week,tether: (United States),solana: (United States)
10/18/2020,10,12
10/25/2020,8,10
11/1/2020,8,10
11/8/2020,10,10
11/15/2020,13,10
11/22/2020,12,10
11/29/2020,11,10
12/6/2020,11,11
12/13/2020,11,12
12/20/2020,13,12
12/27/2020,13,11
1/3/2021,15,11
1/10/2021,18,10
1/17/2021,16,12
1/24/2021,12,12
1/31/2021,11,12
2/7/2021,11,12
2/14/2021,14,13
2/21/2021,18,16
2/28/2021,12,15
3/7/2021,10,13
3/14/2021,11,14
3/21/2021,10,13
3/28/2021,11,16
4/4/2021,10,16
4/11/2021,14,19
4/18/2021,17,21
4/25/2021,15,24
5/2/2021,19,26
5/9/2021,19,28
5/16/2021,19,25
5/23/2021,18,23
5/30/2021,12,25
6/6/2021,12,23
6/13/2021,14,25
6/20/2021,16,22
6/27/2021,13,19
7/4/2021,8,21
7/11/2021,12,19
7/18/2021,12,21
7/25/2021,13,21
8/1/2021,10,22
8/8/2021,12,19
8/15/2021,11,42
8/22/2021,10,37
8/29/2021,11,82
9/5/2021,13,100
9/12/2021,12,72
9/19/2021,13,42
9/26/2021,13,42
10/3/2021,14,48
10/10/2021,12,38
